*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-31
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	1.400	1.06E-01	9.83E-02	1.72E-02	3.72E-03	4.06E-02
0.100	1.600	1.06E-01	9.96E-02	1.72E-02	3.01E-03	4.12E-02
0.100	1.800	1.06E-01	1.01E-01	1.72E-02	2.48E-03	4.17E-02
0.100	2.000	1.05E-01	1.01E-01	1.72E-02	2.07E-03	4.21E-02
0.100	2.500	1.05E-01	1.02E-01	1.72E-02	1.46E-03	4.26E-02
0.100	3.000	1.05E-01	1.03E-01	1.72E-02	1.11E-03	4.30E-02
0.100	4.000	1.05E-01	1.04E-01	1.72E-02	7.30E-04	4.33E-02
0.100	5.000	1.05E-01	1.04E-01	1.72E-02	5.59E-04	4.35E-02
0.100	7.000	1.05E-01	1.04E-01	1.72E-02	3.94E-04	4.36E-02
0.100	10.000	1.05E-01	1.05E-01	1.72E-02	2.87E-04	4.37E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.41E-01	1.13E-02	1.91E-03	1.15E-01	4.68E-03
0.100	0.100	2.06E-01	1.20E-02	1.91E-03	9.68E-02	5.07E-03
0.100	0.120	1.81E-01	1.27E-02	1.91E-03	8.42E-02	5.39E-03
0.100	0.130	1.72E-01	1.30E-02	1.91E-03	7.93E-02	5.55E-03
0.100	0.150	1.56E-01	1.36E-02	1.91E-03	7.12E-02	5.84E-03
0.100	0.180	1.39E-01	1.44E-02	1.91E-03	6.23E-02	6.27E-03
0.100	0.200	1.30E-01	1.50E-02	1.91E-03	5.76E-02	6.57E-03
0.100	0.250	1.14E-01	1.63E-02	1.91E-03	4.90E-02	7.19E-03
0.100	0.300	1.03E-01	1.74E-02	1.91E-03	4.30E-02	7.75E-03
0.100	0.400	8.95E-02	1.95E-02	1.91E-03	3.50E-02	8.77E-03
0.100	0.500	8.10E-02	2.13E-02	1.91E-03	2.98E-02	9.70E-03
0.100	0.600	7.52E-02	2.29E-02	1.91E-03	2.61E-02	1.05E-02
0.100	0.800	6.79E-02	2.58E-02	1.91E-03	2.10E-02	1.20E-02
0.100	1.000	6.34E-02	2.83E-02	1.91E-03	1.75E-02	1.32E-02
0.100	1.200	6.06E-02	3.06E-02	1.91E-03	1.50E-02	1.43E-02
0.100	1.400	5.86E-02	3.25E-02	1.91E-03	1.31E-02	1.53E-02
0.100	1.600	5.72E-02	3.42E-02	1.91E-03	1.15E-02	1.62E-02
0.100	1.800	5.62E-02	3.58E-02	1.91E-03	1.02E-02	1.69E-02
0.100	2.000	5.54E-02	3.72E-02	1.91E-03	9.10E-03	1.76E-02
0.100	2.500	5.41E-02	4.00E-02	1.91E-03	7.06E-03	1.91E-02
0.100	3.000	5.35E-02	4.21E-02	1.91E-03	5.68E-03	2.01E-02
