*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-30
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	1.000	9.96E-02	6.03E-02	3.19E-02	9.38E-03	4.52E-03	3.66E-03	2.55E-02	1.37E-02
0.090	1.200	9.94E-02	6.22E-02	3.30E-02	9.38E-03	4.52E-03	2.14E-03	2.64E-02	1.42E-02
0.090	1.400	9.94E-02	6.32E-02	3.36E-02	9.38E-03	4.52E-03	1.28E-03	2.69E-02	1.46E-02
0.090	1.600	9.94E-02	6.38E-02	3.40E-02	9.38E-03	4.52E-03	8.17E-04	2.72E-02	1.47E-02
0.090	1.800	9.94E-02	6.42E-02	3.42E-02	9.38E-03	4.52E-03	5.24E-04	2.74E-02	1.48E-02
0.090	2.000	9.93E-02	6.43E-02	3.42E-02	9.38E-03	4.52E-03	3.68E-04	2.75E-02	1.49E-02
0.090	2.500	9.94E-02	6.46E-02	3.44E-02	9.38E-03	4.52E-03	1.81E-04	2.76E-02	1.49E-02
0.090	3.000	9.94E-02	6.46E-02	3.45E-02	9.38E-03	4.52E-03	1.30E-04	2.76E-02	1.50E-02
0.090	4.000	9.93E-02	6.47E-02	3.45E-02	9.38E-03	4.52E-03	5.60E-05	2.77E-02	1.50E-02
0.090	5.000	9.93E-02	6.48E-02	3.45E-02	9.38E-03	4.52E-03	2.81E-05	2.77E-02	1.50E-02
0.090	7.000	9.94E-02	6.48E-02	3.46E-02	9.38E-03	4.52E-03	1.71E-05	2.77E-02	1.50E-02
0.090	10.000	9.93E-02	6.48E-02	3.45E-02	9.38E-03	4.52E-03	5.57E-06	2.77E-02	1.50E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M3-M2-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.52E-01	9.89E-03	3.28E-02	4.61E-03	1.72E-02	1.04E-01	2.64E-03	7.79E-03
0.100	0.100	2.17E-01	1.07E-02	3.57E-02	4.61E-03	1.72E-02	8.54E-02	3.06E-03	9.27E-03
0.100	0.120	1.94E-01	1.15E-02	3.86E-02	4.61E-03	1.72E-02	7.21E-02	3.47E-03	1.07E-02
0.100	0.130	1.86E-01	1.20E-02	4.00E-02	4.61E-03	1.72E-02	6.69E-02	3.67E-03	1.14E-02
0.100	0.150	1.72E-01	1.27E-02	4.26E-02	4.61E-03	1.72E-02	5.82E-02	4.06E-03	1.27E-02
0.100	0.180	1.57E-01	1.39E-02	4.64E-02	4.61E-03	1.72E-02	4.84E-02	4.63E-03	1.46E-02
0.100	0.200	1.50E-01	1.46E-02	4.88E-02	4.61E-03	1.72E-02	4.34E-02	5.00E-03	1.58E-02
0.100	0.250	1.38E-01	1.64E-02	5.41E-02	4.61E-03	1.72E-02	3.38E-02	5.87E-03	1.85E-02
0.100	0.300	1.31E-01	1.79E-02	5.87E-02	4.61E-03	1.72E-02	2.70E-02	6.67E-03	2.08E-02
0.100	0.400	1.23E-01	2.07E-02	6.62E-02	4.61E-03	1.72E-02	1.82E-02	8.03E-03	2.45E-02
0.100	0.500	1.20E-01	2.28E-02	7.15E-02	4.61E-03	1.72E-02	1.26E-02	9.11E-03	2.72E-02
0.100	0.600	1.18E-01	2.45E-02	7.55E-02	4.61E-03	1.72E-02	9.03E-03	9.95E-03	2.92E-02
0.100	0.800	1.17E-01	2.67E-02	8.05E-02	4.61E-03	1.72E-02	4.78E-03	1.10E-02	3.17E-02
0.100	1.000	1.16E-01	2.79E-02	8.32E-02	4.61E-03	1.72E-02	2.65E-03	1.17E-02	3.30E-02
0.100	1.200	1.16E-01	2.86E-02	8.47E-02	4.61E-03	1.72E-02	1.54E-03	1.20E-02	3.37E-02
0.100	1.400	1.16E-01	2.90E-02	8.55E-02	4.61E-03	1.72E-02	9.52E-04	1.22E-02	3.41E-02
0.100	1.600	1.16E-01	2.92E-02	8.59E-02	4.61E-03	1.72E-02	6.01E-04	1.23E-02	3.44E-02
0.100	1.800	1.16E-01	2.94E-02	8.62E-02	4.61E-03	1.72E-02	3.83E-04	1.24E-02	3.45E-02
0.100	2.000	1.16E-01	2.94E-02	8.63E-02	4.61E-03	1.72E-02	2.76E-04	1.24E-02	3.46E-02
0.100	2.500	1.16E-01	2.95E-02	8.65E-02	4.61E-03	1.72E-02	1.42E-04	1.25E-02	3.47E-02
0.100	3.000	1.16E-01	2.95E-02	8.66E-02	4.61E-03	1.72E-02	1.12E-04	1.25E-02	3.47E-02
0.100	4.000	1.16E-01	2.96E-02	8.66E-02	4.61E-03	1.72E-02	4.38E-05	1.25E-02	3.47E-02
0.100	5.000	1.16E-01	2.96E-02	8.66E-02	4.61E-03	1.72E-02	2.30E-05	1.25E-02	3.47E-02
0.100	7.000	1.16E-01	2.96E-02	8.67E-02	4.61E-03	1.72E-02	1.56E-05	1.25E-02	3.47E-02
